,x,y,z,v
0,16.5,32.5,1.5,-6.03197281546
1,16.5,33.125,1.5,-6.05493964347
2,16.5,33.75,1.5,-6.07286063318
3,16.5,34.375,1.5,-6.07430378899
4,16.5,35.0,1.5,-6.0613169978
5,16.5,35.625,1.5,-6.0319335665
6,16.5,36.25,1.5,-5.98933290875
7,16.5,36.875,1.5,-5.94060900235
8,16.5,37.5,1.5,-5.88028134183
9,16.5,38.125,1.5,-5.82671788619
10,16.5,38.75,1.5,-5.77339591791
11,16.5,39.375,1.5,-5.73098918898
12,16.5,40.0,1.5,-5.69854622059
13,16.5,40.625,1.5,-5.67802183764
14,16.5,41.25,1.5,-5.67024084806
15,16.5,41.875,1.5,-5.67686126507
16,16.5,42.5,1.5,-5.69234665688
17,16.5,43.125,1.5,-5.72331583081
18,16.5,43.75,1.5,-5.75816653634
19,16.5,44.375,1.5,-5.80281430048
20,16.5,45.0,1.5,-5.85072555006
21,16.5,45.625,1.5,-5.8963040935
22,16.5,46.25,1.5,-5.94424969499
23,16.5,46.875,1.5,-5.98769653132
24,16.5,47.5,1.5,-6.01960114803
25,17.125,32.5,1.5,-6.03781026645
26,17.125,33.125,1.5,-6.06111001524
27,17.125,33.75,1.5,-6.07984993382
28,17.125,34.375,1.5,-6.08391647594
29,17.125,35.0,1.5,-6.07385101793
30,17.125,35.625,1.5,-6.04604048968
31,17.125,36.25,1.5,-6.00284020397
32,17.125,36.875,1.5,-5.95208013581
33,17.125,37.5,1.5,-5.88791193121
34,17.125,38.125,1.5,-5.83207004687
35,17.125,38.75,1.5,-5.77841862457
36,17.125,39.375,1.5,-5.73818470277
37,17.125,40.0,1.5,-5.70688107665
38,17.125,40.625,1.5,-5.68647546936
39,17.125,41.25,1.5,-5.67924377813
40,17.125,41.875,1.5,-5.68313599263
41,17.125,42.5,1.5,-5.69933794904
42,17.125,43.125,1.5,-5.72812401385
43,17.125,43.75,1.5,-5.76121482364
44,17.125,44.375,1.5,-5.80452700187
45,17.125,45.0,1.5,-5.85105615154
46,17.125,45.625,1.5,-5.8954330616
47,17.125,46.25,1.5,-5.9442183167
48,17.125,46.875,1.5,-5.99109888964
49,17.125,47.5,1.5,-6.024989753
50,17.75,32.5,1.5,-6.04864217171
51,17.75,33.125,1.5,-6.07633817679
52,17.75,33.75,1.5,-6.10148219847
53,17.75,34.375,1.5,-6.11027368276
54,17.75,35.0,1.5,-6.10508748051
55,17.75,35.625,1.5,-6.08189974744
56,17.75,36.25,1.5,-6.04338591999
57,17.75,36.875,1.5,-5.99558816251
58,17.75,37.5,1.5,-5.93554501123
59,17.75,38.125,1.5,-5.88040991485
60,17.75,38.75,1.5,-5.82700352475
61,17.75,39.375,1.5,-5.7874507426
62,17.75,40.0,1.5,-5.75456877895
63,17.75,40.625,1.5,-5.73133389395
64,17.75,41.25,1.5,-5.71906754661
65,17.75,41.875,1.5,-5.72033415016
66,17.75,42.5,1.5,-5.73310850967
67,17.75,43.125,1.5,-5.75660580868
68,17.75,43.75,1.5,-5.78432225182
69,17.75,44.375,1.5,-5.82077259531
70,17.75,45.0,1.5,-5.86265378818
71,17.75,45.625,1.5,-5.90277474421
72,17.75,46.25,1.5,-5.95138582687
73,17.75,46.875,1.5,-5.99785129648
74,17.75,47.5,1.5,-6.03435296444
75,18.375,32.5,1.5,-6.07507553296
76,18.375,33.125,1.5,-6.10849417427
77,18.375,33.75,1.5,-6.14329391842
78,18.375,34.375,1.5,-6.16663116434
79,18.375,35.0,1.5,-6.17406870039
80,18.375,35.625,1.5,-6.16246595199
81,18.375,36.25,1.5,-6.13340467392
82,18.375,36.875,1.5,-6.09119982764
83,18.375,37.5,1.5,-6.03125806101
84,18.375,38.125,1.5,-5.97469098744
85,18.375,38.75,1.5,-5.91313159186
86,18.375,39.375,1.5,-5.86477944317
87,18.375,40.0,1.5,-5.81844057537
88,18.375,40.625,1.5,-5.78525667524
89,18.375,41.25,1.5,-5.76481133111
90,18.375,41.875,1.5,-5.75532365552
91,18.375,42.5,1.5,-5.75790381156
92,18.375,43.125,1.5,-5.77266367827
93,18.375,43.75,1.5,-5.79361863761
94,18.375,44.375,1.5,-5.82684398659
95,18.375,45.0,1.5,-5.86792959265
96,18.375,45.625,1.5,-5.9107999313
97,18.375,46.25,1.5,-5.96220236895
98,18.375,46.875,1.5,-6.01505910272
99,18.375,47.5,1.5,-6.0579907568
100,19.0,32.5,1.5,-6.11783726062
101,19.0,33.125,1.5,-6.16564721679
102,19.0,33.75,1.5,-6.21811887317
103,19.0,34.375,1.5,-6.25866807315
104,19.0,35.0,1.5,-6.28437681028
105,19.0,35.625,1.5,-6.29336828352
106,19.0,36.25,1.5,-6.28107802636
107,19.0,36.875,1.5,-6.24538129074
108,19.0,37.5,1.5,-6.18203264028
109,19.0,38.125,1.5,-6.10727738617
110,19.0,38.75,1.5,-6.01189866651
111,19.0,39.375,1.5,-5.92978115731
112,19.0,40.0,1.5,-5.85678964122
113,19.0,40.625,1.5,-5.8070226172
114,19.0,41.25,1.5,-5.77779169405
115,19.0,41.875,1.5,-5.7636489534
116,19.0,42.5,1.5,-5.75973689139
117,19.0,43.125,1.5,-5.76956214035
118,19.0,43.75,1.5,-5.78772900735
119,19.0,44.375,1.5,-5.8212217418
120,19.0,45.0,1.5,-5.86702892316
121,19.0,45.625,1.5,-5.9153843748
122,19.0,46.25,1.5,-5.9774009191
123,19.0,46.875,1.5,-6.04173920853
124,19.0,47.5,1.5,-6.09560228877
125,19.625,32.5,1.5,-6.20796692074
126,19.625,33.125,1.5,-6.27493972537
127,19.625,33.75,1.5,-6.3560043517
128,19.625,34.375,1.5,-6.43267456529
129,19.625,35.0,1.5,-6.49503649634
130,19.625,35.625,1.5,-6.54553564507
131,19.625,36.25,1.5,-6.5683304856
132,19.625,36.875,1.5,-6.54218720961
133,19.625,37.5,1.5,-6.43328226389
134,19.625,38.125,1.5,-6.27216194502
135,19.625,38.75,1.5,-6.06707330647
136,19.625,39.375,1.5,-5.91628982212
137,19.625,40.0,1.5,-5.81602283499
138,19.625,40.625,1.5,-5.77312489081
139,19.625,41.25,1.5,-5.75586198683
140,19.625,41.875,1.5,-5.75020640955
141,19.625,42.5,1.5,-5.74854293266
142,19.625,43.125,1.5,-5.76206293549
143,19.625,43.75,1.5,-5.78678306654
144,19.625,44.375,1.5,-5.83107206753
145,19.625,45.0,1.5,-5.88963142434
146,19.625,45.625,1.5,-5.95227933314
147,19.625,46.25,1.5,-6.02958926222
148,19.625,46.875,1.5,-6.11065628435
149,19.625,47.5,1.5,-6.17840193812
150,20.25,32.5,1.5,-6.39355344554
151,20.25,33.125,1.5,-6.49200557839
152,20.25,33.75,1.5,-6.61661916805
153,20.25,34.375,1.5,-6.7453234647
154,20.25,35.0,1.5,-6.86543309063
155,20.25,35.625,1.5,-6.99525960924
156,20.25,36.25,1.5,-7.07670586419
157,20.25,36.875,1.5,-7.02537536444
158,20.25,37.5,1.5,-6.76365168789
159,20.25,38.125,1.5,-6.39101503432
160,20.25,38.75,1.5,-5.99592444439
161,20.25,39.375,1.5,-5.79792019226
162,20.25,40.0,1.5,-5.74529072854
163,20.25,40.625,1.5,-5.76831894027
164,20.25,41.25,1.5,-5.7922015698
165,20.25,41.875,1.5,-5.8046600002
166,20.25,42.5,1.5,-5.80509262866
167,20.25,43.125,1.5,-5.81689195503
168,20.25,43.75,1.5,-5.84196551615
169,20.25,44.375,1.5,-5.89168860068
170,20.25,45.0,1.5,-5.96375568801
171,20.25,45.625,1.5,-6.04299090857
172,20.25,46.25,1.5,-6.14495905018
173,20.25,46.875,1.5,-6.25608874969
174,20.25,47.5,1.5,-6.35089172083
175,20.875,32.5,1.5,-6.69709333442
176,20.875,33.125,1.5,-6.83298989861
177,20.875,33.75,1.5,-7.00901798069
178,20.875,34.375,1.5,-7.21094964845
179,20.875,35.0,1.5,-7.42205097192
180,20.875,35.625,1.5,-7.67860807995
181,20.875,36.25,1.5,-7.85692491579
182,20.875,36.875,1.5,-7.74380531824
183,20.875,37.5,1.5,-7.18031649311
184,20.875,38.125,1.5,-6.44074099862
185,20.875,38.75,1.5,-5.82641896596
186,20.875,39.375,1.5,-5.75387980906
187,20.875,40.0,1.5,-5.86934951519
188,20.875,40.625,1.5,-5.99968667697
189,20.875,41.25,1.5,-6.05338823816
190,20.875,41.875,1.5,-6.04673658268
191,20.875,42.5,1.5,-6.00271502159
192,20.875,43.125,1.5,-5.97226252458
193,20.875,43.75,1.5,-5.9804015757
194,20.875,44.375,1.5,-6.03271601529
195,20.875,45.0,1.5,-6.12495933166
196,20.875,45.625,1.5,-6.23277176308
197,20.875,46.25,1.5,-6.367102652
198,20.875,46.875,1.5,-6.51430240732
199,20.875,47.5,1.5,-6.63998027549
200,21.5,32.5,1.5,-7.3507956309
201,21.5,33.125,1.5,-7.51967034191
202,21.5,33.75,1.5,-7.76064605413
203,21.5,34.375,1.5,-8.07350949869
204,21.5,35.0,1.5,-8.45924042067
205,21.5,35.625,1.5,-8.97469436539
206,21.5,36.25,1.5,-9.39087921858
207,21.5,36.875,1.5,-9.24768675859
208,21.5,37.5,1.5,-8.15147220276
209,21.5,38.125,1.5,-6.51801317142
210,21.5,38.75,1.5,-6.26748502101
211,21.5,39.375,1.5,-6.7934369004
212,21.5,40.0,1.5,-7.06168252596
213,21.5,40.625,1.5,-7.07873241306
214,21.5,41.25,1.5,-6.95065293497
215,21.5,41.875,1.5,-6.71973332552
216,21.5,42.5,1.5,-6.47349845812
217,21.5,43.125,1.5,-6.3373660727
218,21.5,43.75,1.5,-6.32244145029
219,21.5,44.375,1.5,-6.40284581493
220,21.5,45.0,1.5,-6.55305494782
221,21.5,45.625,1.5,-6.72324283318
