,x,y,z,v
0,16.5,32.5,1.5,41.8374652988
1,16.5,33.125,1.5,41.949352695
2,16.5,33.75,1.5,41.8951159132
3,16.5,34.375,1.5,41.9806705731
4,16.5,35.0,1.5,41.9883776464
5,16.5,35.625,1.5,41.9881866615
6,16.5,36.25,1.5,42.16094682
7,16.5,36.875,1.5,42.1663873486
8,16.5,37.5,1.5,42.2047923569
9,16.5,38.125,1.5,42.1582268137
10,16.5,38.75,1.5,42.3427899527
11,16.5,39.375,1.5,42.4021856057
12,16.5,40.0,1.5,42.2578828909
13,16.5,40.625,1.5,42.3942982177
14,16.5,41.25,1.5,42.3464848779
15,16.5,41.875,1.5,42.1465274238
16,16.5,42.5,1.5,42.211207034
17,16.5,43.125,1.5,42.168441049
18,16.5,43.75,1.5,42.1702022063
19,16.5,44.375,1.5,42.007038319
20,16.5,45.0,1.5,42.016471837
21,16.5,45.625,1.5,42.0099572125
22,16.5,46.25,1.5,41.9398185632
23,16.5,46.875,1.5,41.9711336844
24,16.5,47.5,1.5,41.8470755106
25,17.125,32.5,1.5,41.8781537631
26,17.125,33.125,1.5,41.864357041
27,17.125,33.75,1.5,41.9024358805
28,17.125,34.375,1.5,42.0958524896
29,17.125,35.0,1.5,42.0283008216
30,17.125,35.625,1.5,42.1039985225
31,17.125,36.25,1.5,42.2423311967
32,17.125,36.875,1.5,42.1906405554
33,17.125,37.5,1.5,42.1947933979
34,17.125,38.125,1.5,42.2232364359
35,17.125,38.75,1.5,42.4368940052
36,17.125,39.375,1.5,42.5957312659
37,17.125,40.0,1.5,42.5785123772
38,17.125,40.625,1.5,42.5975961983
39,17.125,41.25,1.5,42.4423817469
40,17.125,41.875,1.5,42.2238925631
41,17.125,42.5,1.5,42.1980267898
42,17.125,43.125,1.5,42.197189874
43,17.125,43.75,1.5,42.2546935853
44,17.125,44.375,1.5,42.1277565993
45,17.125,45.0,1.5,42.050823448
46,17.125,45.625,1.5,42.1150206336
47,17.125,46.25,1.5,41.9141378322
48,17.125,46.875,1.5,41.8859575065
49,17.125,47.5,1.5,41.8746489221
50,17.75,32.5,1.5,41.9478268325
51,17.75,33.125,1.5,41.9577576597
52,17.75,33.75,1.5,41.8789739462
53,17.75,34.375,1.5,42.0006561283
54,17.75,35.0,1.5,42.1650615666
55,17.75,35.625,1.5,42.2135020842
56,17.75,36.25,1.5,42.2658233824
57,17.75,36.875,1.5,42.3862412059
58,17.75,37.5,1.5,42.390693705
59,17.75,38.125,1.5,42.427298779
60,17.75,38.75,1.5,42.4643463469
61,17.75,39.375,1.5,42.7866690319
62,17.75,40.0,1.5,42.9225343862
63,17.75,40.625,1.5,42.7676657377
64,17.75,41.25,1.5,42.4638345001
65,17.75,41.875,1.5,42.4131545752
66,17.75,42.5,1.5,42.4052678029
67,17.75,43.125,1.5,42.4105225959
68,17.75,43.75,1.5,42.2957988174
69,17.75,44.375,1.5,42.2407897367
70,17.75,45.0,1.5,42.1966000147
71,17.75,45.625,1.5,42.034029313
72,17.75,46.25,1.5,41.8902461138
73,17.75,46.875,1.5,41.9641764899
74,17.75,47.5,1.5,41.9406943432
75,18.375,32.5,1.5,41.9042907333
76,18.375,33.125,1.5,42.0171191091
77,18.375,33.75,1.5,41.8644578893
78,18.375,34.375,1.5,42.0397079487
79,18.375,35.0,1.5,42.158246502
80,18.375,35.625,1.5,42.2346399796
81,18.375,36.25,1.5,42.3777911324
82,18.375,36.875,1.5,42.4977922159
83,18.375,37.5,1.5,42.6138480132
84,18.375,38.125,1.5,42.7288404378
85,18.375,38.75,1.5,42.8436810695
86,18.375,39.375,1.5,43.0723325447
87,18.375,40.0,1.5,43.2271074199
88,18.375,40.625,1.5,43.064749545
89,18.375,41.25,1.5,42.8643688008
90,18.375,41.875,1.5,42.7044146729
91,18.375,42.5,1.5,42.6285014192
92,18.375,43.125,1.5,42.5117743428
93,18.375,43.75,1.5,42.4099996856
94,18.375,44.375,1.5,42.2709162102
95,18.375,45.0,1.5,42.1882697484
96,18.375,45.625,1.5,42.0858286428
97,18.375,46.25,1.5,41.9119873431
98,18.375,46.875,1.5,42.0252624904
99,18.375,47.5,1.5,41.9082088037
100,19.0,32.5,1.5,42.0100965087
101,19.0,33.125,1.5,41.9524383969
102,19.0,33.75,1.5,41.9595158263
103,19.0,34.375,1.5,42.1168948145
104,19.0,35.0,1.5,42.1577265848
105,19.0,35.625,1.5,42.3432221964
106,19.0,36.25,1.5,42.4978356824
107,19.0,36.875,1.5,42.5276716793
108,19.0,37.5,1.5,42.826132488
109,19.0,38.125,1.5,42.9601937235
110,19.0,38.75,1.5,43.4521450956
111,19.0,39.375,1.5,43.4580246607
112,19.0,40.0,1.5,43.685147035
113,19.0,40.625,1.5,43.4742872926
114,19.0,41.25,1.5,43.4788128823
115,19.0,41.875,1.5,42.9755861118
116,19.0,42.5,1.5,42.8583456565
117,19.0,43.125,1.5,42.5636820756
118,19.0,43.75,1.5,42.5431134119
119,19.0,44.375,1.5,42.3796547638
120,19.0,45.0,1.5,42.2092005144
121,19.0,45.625,1.5,42.1669366044
122,19.0,46.25,1.5,41.9913749536
123,19.0,46.875,1.5,41.9696029832
124,19.0,47.5,1.5,42.026256577
125,19.625,32.5,1.5,41.9693948518
126,19.625,33.125,1.5,42.0524465805
127,19.625,33.75,1.5,42.0411176271
128,19.625,34.375,1.5,42.2411513552
129,19.625,35.0,1.5,42.1914774115
130,19.625,35.625,1.5,42.4647254857
131,19.625,36.25,1.5,42.4739481715
132,19.625,36.875,1.5,42.6763057128
133,19.625,37.5,1.5,43.004424654
134,19.625,38.125,1.5,43.2154499913
135,19.625,38.75,1.5,43.8826656394
136,19.625,39.375,1.5,44.2528820534
137,19.625,40.0,1.5,44.4208951704
138,19.625,40.625,1.5,44.2713955207
139,19.625,41.25,1.5,43.9171167318
140,19.625,41.875,1.5,43.2645729177
141,19.625,42.5,1.5,43.0664882629
142,19.625,43.125,1.5,42.7625975017
143,19.625,43.75,1.5,42.5406082587
144,19.625,44.375,1.5,42.5190713628
145,19.625,45.0,1.5,42.2520597793
146,19.625,45.625,1.5,42.288594663
147,19.625,46.25,1.5,42.0697951499
148,19.625,46.875,1.5,42.0798751928
149,19.625,47.5,1.5,41.9897456425
150,20.25,32.5,1.5,42.0606535827
151,20.25,33.125,1.5,42.111318377
152,20.25,33.75,1.5,42.2830037959
153,20.25,34.375,1.5,42.303396547
154,20.25,35.0,1.5,42.4394799859
155,20.25,35.625,1.5,42.6725346281
